Type,State,Confidence,Time
5,Tilted,100,28/10/2021 08:34
3,Still,76,28/10/2021 08:34
3,Still,100,28/10/2021 08:38
3,Still,100,28/10/2021 08:41
3,Still,100,28/10/2021 08:44
3,Still,100,28/10/2021 08:48
3,Still,100,28/10/2021 08:51
3,Still,100,28/10/2021 08:58
3,Still,100,28/10/2021 09:01
3,Still,100,28/10/2021 11:39
5,Tilted,100,28/10/2021 11:42
3,Still,55,28/10/2021 11:42
3,Still,44,28/10/2021 11:43
2,Foot,99,28/10/2021 11:45
2,Foot,36,28/10/2021 11:46
2,Foot,100,28/10/2021 11:47
2,Foot,100,28/10/2021 11:48
2,Foot,100,28/10/2021 11:49
2,Foot,100,28/10/2021 11:50
2,Foot,98,28/10/2021 11:51
2,Foot,100,28/10/2021 11:52
2,Foot,99,28/10/2021 11:53
2,Foot,98,28/10/2021 11:54
2,Foot,99,28/10/2021 11:55
2,Foot,98,28/10/2021 11:56
2,Foot,99,28/10/2021 11:57
2,Foot,100,28/10/2021 11:58
2,Foot,100,28/10/2021 11:59
2,Foot,100,28/10/2021 12:00
2,Foot,100,28/10/2021 12:01
2,Foot,99,28/10/2021 12:02
2,Foot,100,28/10/2021 12:03
2,Foot,100,28/10/2021 12:04
3,Still,48,28/10/2021 12:05
2,Foot,100,28/10/2021 12:07
2,Foot,100,28/10/2021 12:08
2,Foot,100,28/10/2021 12:09
2,Foot,60,28/10/2021 12:10
2,Foot,99,28/10/2021 12:11
2,Foot,99,28/10/2021 12:12
3,Still,72,28/10/2021 12:14
2,Foot,100,28/10/2021 12:15
2,Foot,99,28/10/2021 12:16
2,Foot,100,28/10/2021 12:17
2,Foot,100,28/10/2021 12:18
2,Foot,98,28/10/2021 12:19
2,Foot,100,28/10/2021 12:20
2,Foot,100,28/10/2021 12:21
2,Foot,100,28/10/2021 12:22
2,Foot,100,28/10/2021 12:23
2,Foot,99,28/10/2021 12:24
2,Foot,99,28/10/2021 12:25
2,Foot,100,28/10/2021 12:26
2,Foot,76,28/10/2021 12:27
2,Foot,37,28/10/2021 12:28
2,Foot,36,28/10/2021 12:29
3,Still,45,28/10/2021 12:31
3,Still,40,28/10/2021 12:32
3,Still,30,28/10/2021 12:33
2,Foot,30,28/10/2021 12:35
5,Tilted,100,28/10/2021 12:36
3,Still,100,28/10/2021 12:36
3,Still,42,28/10/2021 12:37
3,Still,100,28/10/2021 12:38
3,Still,100,28/10/2021 12:39
3,Still,74,28/10/2021 12:40
3,Still,100,28/10/2021 12:41
3,Still,81,28/10/2021 12:42
3,Still,100,28/10/2021 12:43
3,Still,86,28/10/2021 12:44
3,Still,100,28/10/2021 12:47
3,Still,100,28/10/2021 12:50
3,Still,100,28/10/2021 12:53
5,Tilted,100,28/10/2021 12:56
3,Still,80,28/10/2021 12:56
3.Still,100,28/10/2021 12:59